k,precision_directed,precision_undirected
530,0.04150943396226415,0.04339622641509434
531,0.04143126177024482,0.04331450094161959
532,0.041353383458646614,0.043233082706766915
533,0.04127579737335835,0.043151969981238276
534,0.04119850187265917,0.04307116104868914
535,0.041121495327102804,0.04299065420560748
536,0.041044776119402986,0.04291044776119403
537,0.040968342644320296,0.04283054003724395
538,0.040892193308550186,0.04275092936802974
539,0.04081632653061224,0.04267161410018553
540,0.040740740740740744,0.04259259259259259
541,0.04066543438077634,0.04251386321626617
542,0.04059040590405904,0.042435424354243544
543,0.040515653775322284,0.0423572744014733
544,0.04044117647058824,0.042279411764705885
545,0.04036697247706422,0.04220183486238532
546,0.04212454212454213,0.04395604395604396
547,0.04204753199268738,0.043875685557586835
548,0.041970802919708027,0.043795620437956206
549,0.04371584699453552,0.04553734061930783
550,0.04363636363636364,0.045454545454545456
551,0.043557168784029036,0.045372050816696916
552,0.043478260869565216,0.04528985507246377
553,0.0433996383363472,0.045207956600361664
554,0.04332129963898917,0.04512635379061372
555,0.043243243243243246,0.04504504504504504
556,0.04316546762589928,0.044964028776978415
557,0.04308797127468582,0.04488330341113106
558,0.043010752688172046,0.044802867383512544
559,0.04293381037567084,0.044722719141323794
560,0.04285714285714286,0.044642857142857144
561,0.0427807486631016,0.044563279857397504
562,0.042704626334519574,0.04448398576512456
563,0.04262877442273535,0.04440497335701599
564,0.0425531914893617,0.044326241134751775
565,0.04247787610619469,0.04424778761061947
566,0.04240282685512368,0.044169611307420496
567,0.042328042328042326,0.04409171075837742
568,0.04225352112676056,0.04401408450704225
569,0.0421792618629174,0.043936731107205626
570,0.042105263157894736,0.043859649122807015
571,0.04203152364273205,0.043782837127845885
572,0.04195804195804196,0.043706293706293704
573,0.041884816753926704,0.04363001745200698
574,0.041811846689895474,0.04355400696864112
575,0.04173913043478261,0.043478260869565216
576,0.041666666666666664,0.043402777777777776
577,0.0415944540727903,0.043327556325823226
578,0.04152249134948097,0.04325259515570934
579,0.04145077720207254,0.04317789291882556
580,0.041379310344827586,0.04310344827586207
581,0.04130808950086059,0.043029259896729774
582,0.041237113402061855,0.0429553264604811
583,0.0411663807890223,0.04288164665523156
584,0.0410958904109589,0.04280821917808219
585,0.041025641025641026,0.042735042735042736
586,0.040955631399317405,0.042662116040955635
587,0.04088586030664395,0.04258943781942078
588,0.04081632653061224,0.04251700680272109
589,0.04074702886247878,0.042444821731748725
590,0.04067796610169491,0.0423728813559322
591,0.04060913705583756,0.04230118443316413
592,0.04054054054054054,0.04222972972972973
593,0.04047217537942664,0.04215851602023609
594,0.04040404040404041,0.04208754208754209
595,0.040336134453781515,0.04201680672268908
596,0.040268456375838924,0.04194630872483222
597,0.04020100502512563,0.04187604690117253
598,0.04013377926421405,0.04180602006688963
599,0.04006677796327212,0.041736227045075125
600,0.04,0.041666666666666664
601,0.03993344425956739,0.04159733777038269
602,0.03986710963455149,0.04152823920265781
603,0.03980099502487562,0.04145936981757877
604,0.039735099337748346,0.041390728476821195
605,0.03966942148760331,0.04132231404958678
606,0.039603960396039604,0.041254125412541254
607,0.039538714991762765,0.04118616144975288
608,0.039473684210526314,0.04111842105263158
609,0.03940886699507389,0.041050903119868636
610,0.03934426229508197,0.040983606557377046
611,0.03927986906710311,0.04091653027823241
612,0.0392156862745098,0.04084967320261438
613,0.03915171288743882,0.040783034257748776
614,0.03908794788273615,0.04071661237785016
615,0.03902439024390244,0.04065040650406504
616,0.03896103896103896,0.040584415584415584
617,0.03889789303079417,0.04051863857374392
618,0.038834951456310676,0.040453074433656956
619,0.03877221324717286,0.04038772213247173
620,0.03870967741935484,0.04032258064516129
621,0.03864734299516908,0.040257648953301126
622,0.03858520900321544,0.04019292604501608
623,0.038523274478330656,0.04012841091492777
624,0.038461538461538464,0.04006410256410257
625,0.0384,0.04
626,0.038338658146964855,0.039936102236421724
627,0.03827751196172249,0.03987240829346093
628,0.03821656050955414,0.03980891719745223
629,0.03815580286168521,0.0397456279809221
630,0.0380952380952381,0.03968253968253968
631,0.03803486529318542,0.039619651347068144
632,0.0379746835443038,0.03955696202531646
633,0.037914691943127965,0.03949447077409163
634,0.03785488958990536,0.03943217665615142
635,0.03779527559055118,0.03937007874015748
636,0.03773584905660377,0.03930817610062893
637,0.03767660910518053,0.03924646781789639
638,0.03918495297805643,0.04075235109717868
639,0.03912363067292645,0.0406885758998435
640,0.0390625,0.040625
641,0.0390015600624025,0.0405616224648986
642,0.03894080996884735,0.040498442367601244
643,0.038880248833592534,0.04043545878693624
644,0.03881987577639751,0.040372670807453416
645,0.03875968992248062,0.040310077519379844
646,0.03869969040247678,0.04024767801857585
647,0.03863987635239567,0.0401854714064915
648,0.038580246913580245,0.040123456790123455
649,0.03852080123266564,0.040061633281972264
650,0.038461538461538464,0.04
651,0.03840245775729647,0.039938556067588324
652,0.03834355828220859,0.03987730061349693
653,0.03828483920367534,0.039816232771822356
654,0.0382262996941896,0.039755351681957186
655,0.03816793893129771,0.03969465648854962
656,0.038109756097560975,0.039634146341463415
657,0.0380517503805175,0.0395738203957382
658,0.037993920972644375,0.03951367781155015
659,0.03793626707132018,0.03945371775417299
660,0.03787878787878788,0.03939393939393939
661,0.037821482602118005,0.039334341906202726
662,0.0377643504531722,0.03927492447129909
663,0.03770739064856712,0.0392156862745098
664,0.0391566265060241,0.04066265060240964
665,0.0406015037593985,0.042105263157894736
666,0.04054054054054054,0.042042042042042045
667,0.04047976011994003,0.041979010494752625
668,0.040419161676646706,0.041916167664670656
669,0.04035874439461883,0.04185351270553064
670,0.04029850746268657,0.041791044776119404
671,0.040238450074515646,0.041728763040238454
672,0.04017857142857143,0.041666666666666664
673,0.04011887072808321,0.041604754829123326
674,0.040059347181008904,0.04154302670623145
675,0.04,0.04148148148148148
676,0.03994082840236687,0.04142011834319527
677,0.03988183161004431,0.0413589364844904
678,0.03982300884955752,0.04129793510324484
679,0.039764359351988215,0.041237113402061855
680,0.039705882352941174,0.041176470588235294
681,0.039647577092511016,0.041116005873715125
682,0.039589442815249266,0.04105571847507331
683,0.03953147877013177,0.040995607613469986
684,0.039473684210526314,0.04093567251461988
685,0.03941605839416058,0.040875912408759124
686,0.03935860058309038,0.04081632653061224
687,0.039301310043668124,0.040756914119359534
688,0.03924418604651163,0.040697674418604654
689,0.03918722786647315,0.040638606676342524
690,0.0391304347826087,0.04057971014492753
691,0.03907380607814761,0.04052098408104197
692,0.03901734104046243,0.04046242774566474
693,0.03896103896103896,0.04040404040404041
694,0.03890489913544669,0.040345821325648415
695,0.03884892086330935,0.04028776978417266
696,0.03879310344827586,0.040229885057471264
697,0.03873744619799139,0.040172166427546625
698,0.03868194842406877,0.04011461318051576
699,0.03862660944206009,0.04005722460658083
700,0.03857142857142857,0.04
701,0.03851640513552068,0.039942938659058486
702,0.038461538461538464,0.039886039886039885
703,0.03840682788051209,0.03982930298719772
704,0.03835227272727273,0.03977272727272727
705,0.03829787234042553,0.03971631205673759
706,0.03824362606232295,0.039660056657223795
707,0.03818953323903819,0.039603960396039604
708,0.038135593220338986,0.03954802259887006
709,0.0380818053596615,0.039492242595204514
710,0.038028169014084505,0.03943661971830986
711,0.0379746835443038,0.03938115330520394
712,0.037921348314606744,0.03932584269662921
